"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"George Kittle","SF","5.9","73.9","0.6","0.1","10.9"
"Travis Kelce","KC","5.8","74.8","0.6","0.1","10.9"
"Zach Ertz","PHI","6.5","69.2","0.5","0.1","10.0"
"Darren Waller","OAK","6.1","70.7","0.5","0.1","9.9"
"Hunter Henry","LAC","4.5","54.5","0.5","0.0","8.3"
"Tyler Higbee","LAR","5.3","55.6","0.5","0.1","8.2"
"Austin Hooper","ATL","5.1","53.1","0.4","0.0","7.8"
"Jared Cook","NO","4.0","48.7","0.4","0.0","7.5"
"Mark Andrews","BAL","3.4","45.3","0.4","0.0","7.1"
"Jack Doyle","IND","5.1","47.7","0.4","0.0","7.1"
"Mike Gesicki","MIA","4.5","49.0","0.3","0.1","6.8"
"Dallas Goedert","PHI","4.3","45.2","0.4","0.1","6.7"
"Jacob Hollister","SEA","4.1","39.6","0.4","0.0","6.5"
"Noah Fant","DEN","3.3","41.2","0.3","0.1","5.9"
"Darren Fells","HOU","2.9","33.1","0.4","0.0","5.8"
"Ian Thomas","CAR","4.3","41.3","0.2","0.0","5.3"
"O.J. Howard","TB","3.1","45.7","0.1","0.1","5.2"
"Jonnu Smith","TEN","3.4","37.5","0.2","0.0","5.1"
"Kaden Smith","NYG","3.5","36.3","0.2","0.0","4.5"
"Kyle Rudolph","MIN","3.5","32.9","0.2","0.0","4.5"
"Jason Witten","DAL","3.9","38.5","0.1","0.1","4.5"
"David Njoku","CLE","2.8","31.6","0.2","0.0","4.1"
"Jimmy Graham","GB","2.5","30.1","0.1","0.0","3.7"
"Nick O'Leary","JAC","2.5","29.3","0.1","0.0","3.6"
"Cameron Brate","TB","2.3","26.0","0.1","0.0","3.4"
"Hayden Hurst","BAL","2.3","25.6","0.1","0.0","3.4"
"Jordan Akins","HOU","2.2","27.1","0.1","0.0","3.3"
"Dawson Knox","BUF","2.4","28.8","0.1","0.0","3.3"
"Irv Smith Jr.","MIN","2.9","26.2","0.1","0.0","3.2"
"Logan Thomas","DET","2.6","25.3","0.1","0.0","3.1"
"Tyler Eifert","CIN","2.3","24.6","0.1","0.0","2.9"
"Daniel Brown","NYJ","2.1","22.5","0.1","0.0","2.9"
"Nick Boyle","BAL","2.3","20.8","0.1","0.0","2.9"
"Blake Jarwin","DAL","2.0","23.3","0.1","0.0","2.8"
"Jesper Horsted","CHI","2.1","21.1","0.1","0.0","2.7"
"Anthony Firkser","TEN","1.7","20.1","0.1","0.0","2.6"
"Jesse James","DET","2.0","21.5","0.1","0.0","2.6"
"Jeremy Sprinkle","WAS","2.0","20.2","0.1","0.0","2.5"
"Jeff Heuerman","DEN","1.8","17.5","0.1","0.0","2.5"
"Benjamin Watson","NE","1.8","19.5","0.1","0.0","2.4"
"Matt LaCosse","NE","1.8","18.4","0.1","0.0","2.3"
"Nick Vannett","PIT","1.7","16.9","0.1","0.0","2.0"
"Josh Hill","NO","1.7","14.9","0.1","0.0","2.0"
"Charles Clay","ARI","1.5","15.2","0.1","0.0","1.9"
"C.J. Uzomah","CIN","1.7","15.7","0.0","0.0","1.8"
"Derek Carrier","OAK","1.4","13.2","0.1","0.0","1.8"
"Marcedes Lewis","GB","1.2","12.8","0.1","0.0","1.7"
"Joshua Perkins","PHI","1.2","12.3","0.1","0.0","1.6"
"J.P. Holtz","CHI","1.3","13.7","0.0","0.0","1.6"
"Maxx Williams","ARI","1.3","12.2","0.1","0.0","1.6"
"Ricky Seals-Jones","CLE","0.8","11.2","0.1","0.0","1.6"
"Tyler Kroft","BUF","1.1","11.8","0.0","0.0","1.4"
"Demetrius Harris","CLE","0.9","9.6","0.1","0.0","1.3"
"Ross Travis","IND","1.1","10.5","0.0","0.0","1.3"
"Ryan Izzo","NE","0.9","11.0","0.0","0.0","1.3"
"Andrew Beck","DEN","1.0","9.9","0.0","0.0","1.2"
"Stephen Carlson","CLE","0.6","6.9","0.1","0.0","1.2"
"Jaeden Graham","ATL","0.9","9.9","0.0","0.0","1.2"
"Durham Smythe","MIA","1.0","10.3","0.0","0.0","1.2"
"Chris Manhertz","CAR","0.8","8.8","0.0","0.0","1.2"
"Robert Tonyan","GB","0.7","9.2","0.0","0.0","1.1"
"Mo Alie-Cox","IND","0.9","10.5","0.0","0.0","1.1"
"Troy Fumagalli","DEN","0.8","8.1","0.0","0.0","1.1"
"Clive Walford","MIA","0.8","8.1","0.0","0.0","1.0"
"Isaac Nauta","DET","0.8","8.3","0.0","0.0","1.0"
"Ben Koyack","JAC","0.8","7.8","0.0","0.0","1.0"
"MyCole Pruitt","TEN","0.6","8.1","0.0","0.0","1.0"
"Virgil Green","LAC","0.6","7.1","0.0","0.0","0.9"
"Trevon Wesco","NYJ","0.8","8.1","0.0","0.0","0.9"
"Luke Willson","SEA","0.5","5.6","0.0","0.0","0.8"
"Scott Simonson","NYG","0.6","6.2","0.0","0.0","0.8"
"Tanner Hudson","TB","0.5","6.0","0.0","0.0","0.8"
"Deon Yelder","KC","0.5","5.3","0.0","0.0","0.7"
"Luke Stocker","ATL","0.8","6.5","0.0","0.0","0.7"
"Eric Tomlinson","OAK","0.7","7.1","0.0","0.0","0.7"
"Tyler Conklin","MIN","0.6","6.3","0.0","0.0","0.7"
"Jace Sternberger","GB","0.6","6.3","0.0","0.0","0.7"
"Hale Hentges","WAS","0.6","6.3","0.0","0.0","0.6"
"Ross Dwelley","SF","0.4","4.9","0.0","0.0","0.6"
"Jordan Thomas","HOU","0.5","4.7","0.0","0.0","0.6"
"Seth DeValve","JAC","0.5","5.7","0.0","0.0","0.6"
"Jordan Leggett","TB","0.3","3.3","0.0","0.0","0.5"
"Lance Kendricks","LAC","0.4","4.9","0.0","0.0","0.5"
"Levine Toilolo","SF","0.3","3.5","0.0","0.0","0.5"
"Zach Gentry","PIT","0.5","5.2","0.0","0.0","0.5"
"Tommy Sweeney","BUF","0.4","4.5","0.0","0.0","0.5"
"Dan Arnold","ARI","0.4","4.6","0.0","0.0","0.5"
"Lee Smith","BUF","0.4","3.0","0.0","0.0","0.4"
"Daniel Helm","SF","0.4","4.5","0.0","0.0","0.4"
"Pharaoh Brown","CLE","0.4","4.2","0.0","0.0","0.4"
"Charles Jones","JAC","0.4","4.1","0.0","0.0","0.4"
"Blake Bell","KC","0.4","3.8","0.0","0.0","0.4"
"Johnny Mundt","LAR","0.4","3.8","0.0","0.0","0.4"
"Caleb Wilson","WAS","0.4","4.0","0.0","0.0","0.4"
"Tyrone Swoopes","SEA","0.3","3.6","0.0","0.0","0.4"
"Dalton Schultz","DAL","0.3","3.2","0.0","0.0","0.3"
"Darrell Daniels","ARI","0.2","1.9","0.0","0.0","0.2"
"Cethan Carter","CIN","0.2","1.8","0.0","0.0","0.2"
"Geoff Swaim","JAC","0.1","0.6","0.0","0.0","0.1"
"Kendall Blanton","LAR","0.0","0.0","0.0","0.0","0.0"
""
""