QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Dolphins  (15608293),,1. Locate the player you want to select in the list below ,,,,,,,,
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Vikings  (15608300),,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Antonio Gibson (15607625),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Alexander Mattison (15607599),Vikings  (15608300),,3. Paste the ID into the roster position desired ,,,,,,,,
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Dolphins  (15608293),,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
Ryan Fitzpatrick (15607545),Alexander Mattison (15607599),Devonta Freeman (15607639),Terry McLaurin (15607841),Kenny Golladay (15607831),Adam Thielen (15607807),Eric Ebron (15608131),Tyler Boyd (15607839),Dolphins  (15608293),,5. You can create up to 500 lineups per file ,,,,,,,,
Matthew Stafford (15607542),Derrick Henry (15607597),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Vikings  (15608300),,,,,,,,,,
Matthew Stafford (15607542),Alexander Mattison (15607599),Devonta Freeman (15607639),Terry McLaurin (15607841),Kenny Golladay (15607831),Adam Thielen (15607807),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Davante Adams (15607803),Kenny Golladay (15607831),Jeff Smith (15608077),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),,RB,Christian McCaffrey (15607591),Christian McCaffrey,15607591,RB/FLEX,8500,CHI@CAR 10/18/2020 01:00PM ET,CAR,26.65
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Davante Adams (15607803),Kenny Golladay (15607831),Eric Ebron (15608131),Jeff Smith (15608077),Dolphins  (15608293),,RB,Dalvin Cook (15607593),Dalvin Cook,15607593,RB/FLEX,8000,ATL@MIN 10/18/2020 01:00PM ET,MIN,24.06
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Terry McLaurin (15607841),Davante Adams (15607803),Kenny Golladay (15607831),Eric Ebron (15608131),Jeff Smith (15608077),Vikings  (15608300),,WR,Davante Adams (15607803),Davante Adams,15607803,WR/FLEX,8000,GB@TB 10/18/2020 04:25PM ET,GB,25.6
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Mike Davis (15607603),Kenny Golladay (15607831),Jeff Smith (15608077),Tyler Boyd (15607839),Jonnu Smith (15608115),Alexander Mattison (15607599),Vikings  (15608300),,WR,Calvin Ridley (15607805),Calvin Ridley,15607805,WR/FLEX,7800,ATL@MIN 10/18/2020 01:00PM ET,ATL,22.82
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Alexander Mattison (15607599),Kenny Golladay (15607831),Adam Thielen (15607807),Jeff Smith (15608077),Jonnu Smith (15608115),Tyler Boyd (15607839),Vikings  (15608300),,QB,Lamar Jackson (15607534),Lamar Jackson,15607534,QB,7700,BAL@PHI 10/18/2020 01:00PM ET,BAL,20.15
Matthew Stafford (15607542),Derrick Henry (15607597),Mike Davis (15607603),Kenny Golladay (15607831),Jeff Smith (15608077),Tyler Boyd (15607839),Eric Ebron (15608131),Alexander Mattison (15607599),Dolphins  (15608293),,RB,Aaron Jones (15607595),Aaron Jones,15607595,RB/FLEX,7600,GB@TB 10/18/2020 04:25PM ET,GB,26.22
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Antonio Gibson (15607625),Terry McLaurin (15607841),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Alexander Mattison (15607599),Vikings  (15608300),,QB,Aaron Rodgers (15607535),Aaron Rodgers,15607535,QB,7500,GB@TB 10/18/2020 04:25PM ET,GB,27.52
Ryan Fitzpatrick (15607545),Antonio Gibson (15607625),Alexander Mattison (15607599),Davante Adams (15607803),Kenny Golladay (15607831),Tyler Boyd (15607839),Eric Ebron (15608131),Devonta Freeman (15607639),Vikings  (15608300),,WR,Adam Thielen (15607807),Adam Thielen,15607807,WR/FLEX,7300,ATL@MIN 10/18/2020 01:00PM ET,MIN,22.18
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Kenny Golladay (15607831),Adam Thielen (15607807),Jeff Smith (15608077),Eric Ebron (15608131),Tyler Boyd (15607839),Dolphins  (15608293),,RB,Derrick Henry (15607597),Derrick Henry,15607597,RB/FLEX,7300,HOU@TEN 10/18/2020 01:00PM ET,TEN,19.2
Ryan Fitzpatrick (15607545),Antonio Gibson (15607625),Alexander Mattison (15607599),Terry McLaurin (15607841),Kenny Golladay (15607831),Adam Thielen (15607807),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),,RB,Alexander Mattison (15607599),Alexander Mattison,15607599,RB/FLEX,7200,ATL@MIN 10/18/2020 01:00PM ET,MIN,8.92
Ryan Fitzpatrick (15607545),Mike Davis (15607603),Alexander Mattison (15607599),Davante Adams (15607803),Kenny Golladay (15607831),Jeff Smith (15608077),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),,RB,James Conner (15607601),James Conner,15607601,RB/FLEX,7100,CLE@PIT 10/18/2020 01:00PM ET,PIT,17.5
Matthew Stafford (15607542),Mike Davis (15607603),Alexander Mattison (15607599),Kenny Golladay (15607831),Adam Thielen (15607807),Jeff Smith (15608077),Jonnu Smith (15608115),Devonta Freeman (15607639),Dolphins  (15608293),,RB,Mike Davis (15607603),Mike Davis,15607603,RB/FLEX,7000,CHI@CAR 10/18/2020 01:00PM ET,CAR,18.12
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Mike Davis (15607603),Terry McLaurin (15607841),Kenny Golladay (15607831),Jeff Smith (15608077),Jonnu Smith (15608115),Alexander Mattison (15607599),Vikings  (15608300),,WR,Allen Robinson II (15607809),Allen Robinson II,15607809,WR/FLEX,7000,CHI@CAR 10/18/2020 01:00PM ET,CHI,19
,,,,,,,,,,QB,Deshaun Watson (15607536),Deshaun Watson,15607536,QB,7000,HOU@TEN 10/18/2020 01:00PM ET,HOU,21.87
,,,,,,,,,,RB,Kareem Hunt (15607605),Kareem Hunt,15607605,RB/FLEX,6900,CLE@PIT 10/18/2020 01:00PM ET,CLE,17.6
,,,,,,,,,,WR,Mike Evans (15607811),Mike Evans,15607811,WR/FLEX,6900,GB@TB 10/18/2020 04:25PM ET,TB,18.22
,,,,,,,,,,RB,James Robinson (15607607),James Robinson,15607607,RB/FLEX,6800,DET@JAX 10/18/2020 01:00PM ET,JAX,18.12
,,,,,,,,,,WR,Will Fuller V (15607813),Will Fuller V,15607813,WR/FLEX,6800,HOU@TEN 10/18/2020 01:00PM ET,HOU,15.84
,,,,,,,,,,WR,Julio Jones (15607815),Julio Jones,15607815,WR/FLEX,6700,ATL@MIN 10/18/2020 01:00PM ET,ATL,13.1
,,,,,,,,,,QB,Ben Roethlisberger (15607537),Ben Roethlisberger,15607537,QB,6700,CLE@PIT 10/18/2020 01:00PM ET,PIT,21.21
,,,,,,,,,,RB,Miles Sanders (15607609),Miles Sanders,15607609,RB/FLEX,6600,BAL@PHI 10/18/2020 01:00PM ET,PHI,17.32
,,,,,,,,,,QB,Matt Ryan (15607538),Matt Ryan,15607538,QB,6600,ATL@MIN 10/18/2020 01:00PM ET,ATL,17.84
,,,,,,,,,,WR,JuJu Smith-Schuster (15607817),JuJu Smith-Schuster,15607817,WR/FLEX,6600,CLE@PIT 10/18/2020 01:00PM ET,PIT,14.95
,,,,,,,,,,WR,Marquise Brown (15607819),Marquise Brown,15607819,WR/FLEX,6500,BAL@PHI 10/18/2020 01:00PM ET,BAL,12.6
,,,,,,,,,,TE,Mark Andrews (15608107),Mark Andrews,15608107,TE/FLEX,6500,BAL@PHI 10/18/2020 01:00PM ET,BAL,14.04
,,,,,,,,,,QB,Tom Brady (15607540),Tom Brady,15607540,QB,6500,GB@TB 10/18/2020 04:25PM ET,TB,21.52
,,,,,,,,,,QB,Cam Newton (15607539),Cam Newton,15607539,QB,6500,DEN@NE 10/18/2020 01:00PM ET,NE,25.49
,,,,,,,,,,RB,Jonathan Taylor (15607611),Jonathan Taylor,15607611,RB/FLEX,6400,CIN@IND 10/18/2020 01:00PM ET,IND,14.88
,,,,,,,,,,QB,Gardner Minshew II (15607541),Gardner Minshew II,15607541,QB,6400,DET@JAX 10/18/2020 01:00PM ET,JAX,21.85
,,,,,,,,,,WR,Odell Beckham Jr. (15607823),Odell Beckham Jr.,15607823,WR/FLEX,6400,CLE@PIT 10/18/2020 01:00PM ET,CLE,16.46
,,,,,,,,,,WR,Chris Godwin (15607821),Chris Godwin,15607821,WR/FLEX,6400,GB@TB 10/18/2020 04:25PM ET,TB,15.65
,,,,,,,,,,WR,DeVante Parker (15607829),DeVante Parker,15607829,WR/FLEX,6300,NYJ@MIA 10/18/2020 04:05PM ET,MIA,14.78
,,,,,,,,,,QB,Matthew Stafford (15607542),Matthew Stafford,15607542,QB,6300,DET@JAX 10/18/2020 01:00PM ET,DET,19.04
,,,,,,,,,,WR,DJ Chark Jr. (15607827),DJ Chark Jr.,15607827,WR/FLEX,6300,DET@JAX 10/18/2020 01:00PM ET,JAX,14.5
,,,,,,,,,,RB,Todd Gurley II (15607613),Todd Gurley II,15607613,RB/FLEX,6300,ATL@MIN 10/18/2020 01:00PM ET,ATL,16.46
,,,,,,,,,,WR,Robby Anderson (15607825),Robby Anderson,15607825,WR/FLEX,6300,CHI@CAR 10/18/2020 01:00PM ET,CAR,20.24
,,,,,,,,,,RB,Joe Mixon (15607615),Joe Mixon,15607615,RB/FLEX,6200,CIN@IND 10/18/2020 01:00PM ET,CIN,17.74
,,,,,,,,,,WR,Kenny Golladay (15607831),Kenny Golladay,15607831,WR/FLEX,6200,DET@JAX 10/18/2020 01:00PM ET,DET,16.95
,,,,,,,,,,WR,Jamison Crowder (15607833),Jamison Crowder,15607833,WR/FLEX,6100,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,25.5
,,,,,,,,,,QB,Kirk Cousins (15607543),Kirk Cousins,15607543,QB,6100,ATL@MIN 10/18/2020 01:00PM ET,MIN,15.36
,,,,,,,,,,RB,Nick Chubb (15607617),Nick Chubb,15607617,RB/FLEX,6100,CLE@PIT 10/18/2020 01:00PM ET,CLE,16.8
,,,,,,,,,,WR,Justin Jefferson (15607835),Justin Jefferson,15607835,WR/FLEX,6000,ATL@MIN 10/18/2020 01:00PM ET,MIN,13.62
,,,,,,,,,,QB,Teddy Bridgewater (15607544),Teddy Bridgewater,15607544,QB,6000,CHI@CAR 10/18/2020 01:00PM ET,CAR,19.94
,,,,,,,,,,RB,Ronald Jones II (15607621),Ronald Jones II,15607621,RB/FLEX,6000,GB@TB 10/18/2020 04:25PM ET,TB,14.1
,,,,,,,,,,RB,Melvin Gordon III (15607619),Melvin Gordon III,15607619,RB/FLEX,6000,DEN@NE 10/18/2020 01:00PM ET,DEN,17.4
,,,,,,,,,,QB,Ryan Fitzpatrick (15607545),Ryan Fitzpatrick,15607545,QB,5900,NYJ@MIA 10/18/2020 04:05PM ET,MIA,23.57
,,,,,,,,,,QB,Philip Rivers (15607547),Philip Rivers,15607547,QB,5900,CIN@IND 10/18/2020 01:00PM ET,IND,12.64
,,,,,,,,,,WR,DJ Moore (15607837),DJ Moore,15607837,WR/FLEX,5900,CHI@CAR 10/18/2020 01:00PM ET,CAR,13.82
,,,,,,,,,,QB,Ryan Tannehill (15607546),Ryan Tannehill,15607546,QB,5900,HOU@TEN 10/18/2020 01:00PM ET,TEN,23.22
,,,,,,,,,,WR,Tyler Boyd (15607839),Tyler Boyd,15607839,WR/FLEX,5800,CIN@IND 10/18/2020 01:00PM ET,CIN,15.52
,,,,,,,,,,QB,Nick Foles (15607548),Nick Foles,15607548,QB,5800,CHI@CAR 10/18/2020 01:00PM ET,CHI,14.57
,,,,,,,,,,RB,David Montgomery (15607623),David Montgomery,15607623,RB/FLEX,5800,CHI@CAR 10/18/2020 01:00PM ET,CHI,13.42
,,,,,,,,,,WR,Terry McLaurin (15607841),Terry McLaurin,15607841,WR/FLEX,5700,WAS@NYG 10/18/2020 01:00PM ET,WAS,16.52
,,,,,,,,,,QB,Baker Mayfield (15607549),Baker Mayfield,15607549,QB,5700,CLE@PIT 10/18/2020 01:00PM ET,CLE,14.85
,,,,,,,,,,QB,Carson Wentz (15607550),Carson Wentz,15607550,QB,5600,BAL@PHI 10/18/2020 01:00PM ET,PHI,19.14
,,,,,,,,,,WR,A.J. Brown (15607845),A.J. Brown,15607845,WR/FLEX,5600,HOU@TEN 10/18/2020 01:00PM ET,TEN,15.05
,,,,,,,,,,WR,Julian Edelman (15607843),Julian Edelman,15607843,WR/FLEX,5600,DEN@NE 10/18/2020 01:00PM ET,NE,13.15
,,,,,,,,,,TE,Mike Gesicki (15608109),Mike Gesicki,15608109,TE/FLEX,5500,NYJ@MIA 10/18/2020 04:05PM ET,MIA,12.22
,,,,,,,,,,RB,Antonio Gibson (15607625),Antonio Gibson,15607625,RB/FLEX,5500,WAS@NYG 10/18/2020 01:00PM ET,WAS,13.1
,,,,,,,,,,WR,Jerry Jeudy (15607847),Jerry Jeudy,15607847,WR/FLEX,5500,DEN@NE 10/18/2020 01:00PM ET,DEN,11.1
,,,,,,,,,,QB,Tua Tagovailoa (15607552),Tua Tagovailoa,15607552,QB,5400,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0
,,,,,,,,,,RB,Myles Gaskin (15607629),Myles Gaskin,15607629,RB/FLEX,5400,NYJ@MIA 10/18/2020 04:05PM ET,MIA,13.72
,,,,,,,,,,QB,Joe Burrow (15607554),Joe Burrow,15607554,QB,5400,CIN@IND 10/18/2020 01:00PM ET,CIN,18.93
,,,,,,,,,,QB,Daniel Jones (15607553),Daniel Jones,15607553,QB,5400,WAS@NYG 10/18/2020 01:00PM ET,NYG,11.89
,,,,,,,,,,WR,Darius Slayton (15607849),Darius Slayton,15607849,WR/FLEX,5400,WAS@NYG 10/18/2020 01:00PM ET,NYG,15.3
,,,,,,,,,,RB,David Johnson (15607627),David Johnson,15607627,RB/FLEX,5400,HOU@TEN 10/18/2020 01:00PM ET,HOU,12.6
,,,,,,,,,,QB,Jarrett Stidham (15607551),Jarrett Stidham,15607551,QB,5400,DEN@NE 10/18/2020 01:00PM ET,NE,4.7
,,,,,,,,,,QB,Drew Lock (15607555),Drew Lock,15607555,QB,5400,DEN@NE 10/18/2020 01:00PM ET,DEN,6.47
,,,,,,,,,,TE,Noah Fant (15608111),Noah Fant,15608111,TE/FLEX,5400,DEN@NE 10/18/2020 01:00PM ET,DEN,13.72
,,,,,,,,,,RB,Le'Veon Bell (15607631),Le'Veon Bell,15607631,RB/FLEX,5300,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,7.15
,,,,,,,,,,TE,T.J. Hockenson (15608113),T.J. Hockenson,15608113,TE/FLEX,5300,DET@JAX 10/18/2020 01:00PM ET,DET,11.75
,,,,,,,,,,QB,Sam Darnold (15607557),Sam Darnold,15607557,QB,5200,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,14.34
,,,,,,,,,,WR,Laviska Shenault Jr. (15607851),Laviska Shenault Jr.,15607851,WR/FLEX,5200,DET@JAX 10/18/2020 01:00PM ET,JAX,12.26
,,,,,,,,,,QB,Mitchell Trubisky (15607558),Mitchell Trubisky,15607558,QB,5200,CHI@CAR 10/18/2020 01:00PM ET,CHI,17.37
,,,,,,,,,,TE,Jonnu Smith (15608115),Jonnu Smith,15608115,TE/FLEX,5200,HOU@TEN 10/18/2020 01:00PM ET,TEN,17.52
,,,,,,,,,,WR,Chase Claypool (15607853),Chase Claypool,15607853,WR/FLEX,5200,CLE@PIT 10/18/2020 01:00PM ET,PIT,18.38
,,,,,,,,,,QB,Brian Hoyer (15607556),Brian Hoyer,15607556,QB,5200,DEN@NE 10/18/2020 01:00PM ET,NE,4
,,,,,,,,,,QB,Brett Rypien (15607559),Brett Rypien,15607559,QB,5200,DEN@NE 10/18/2020 01:00PM ET,DEN,7.65
,,,,,,,,,,RB,Mark Ingram II (15607633),Mark Ingram II,15607633,RB/FLEX,5100,BAL@PHI 10/18/2020 01:00PM ET,BAL,7.6
,,,,,,,,,,QB,Joe Flacco (15607560),Joe Flacco,15607560,QB,5100,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,7.22
,,,,,,,,,,WR,Marvin Jones Jr. (15607857),Marvin Jones Jr.,15607857,WR/FLEX,5100,DET@JAX 10/18/2020 01:00PM ET,DET,7.95
,,,,,,,,,,QB,Kyle Allen (15607561),Kyle Allen,15607561,QB,5100,WAS@NYG 10/18/2020 01:00PM ET,WAS,9.66
,,,,,,,,,,WR,Allen Lazard (15607855),Allen Lazard,15607855,WR/FLEX,5100,GB@TB 10/18/2020 04:25PM ET,GB,18.37
,,,,,,,,,,TE,Robert Tonyan (15608117),Robert Tonyan,15608117,TE/FLEX,5100,GB@TB 10/18/2020 04:25PM ET,GB,15.08
,,,,,,,,,,QB,Jalen Hurts (15607564),Jalen Hurts,15607564,QB,5000,BAL@PHI 10/18/2020 01:00PM ET,PHI,0.83
,,,,,,,,,,TE,Zach Ertz (15608121),Zach Ertz,15608121,TE/FLEX,5000,BAL@PHI 10/18/2020 01:00PM ET,PHI,8.5
,,,,,,,,,,WR,T.Y. Hilton (15607861),T.Y. Hilton,15607861,WR/FLEX,5000,CIN@IND 10/18/2020 01:00PM ET,IND,8.42
,,,,,,,,,,QB,Alex Smith (15607562),Alex Smith,15607562,QB,5000,WAS@NYG 10/18/2020 01:00PM ET,WAS,1.58
,,,,,,,,,,QB,Dwayne Haskins Jr. (15607563),Dwayne Haskins Jr.,15607563,QB,5000,WAS@NYG 10/18/2020 01:00PM ET,WAS,15.14
,,,,,,,,,,TE,Jimmy Graham (15608119),Jimmy Graham,15608119,TE/FLEX,5000,CHI@CAR 10/18/2020 01:00PM ET,CHI,11.58
,,,,,,,,,,WR,Brandin Cooks (15607859),Brandin Cooks,15607859,WR/FLEX,5000,HOU@TEN 10/18/2020 01:00PM ET,HOU,11.38
,,,,,,,,,,RB,Leonard Fournette (15607635),Leonard Fournette,15607635,RB/FLEX,5000,GB@TB 10/18/2020 04:25PM ET,TB,12.57
,,,,,,,,,,QB,Blake Bortles (15607565),Blake Bortles,15607565,QB,5000,DEN@NE 10/18/2020 01:00PM ET,DEN,0
,,,,,,,,,,RB,Damien Harris (15607637),Damien Harris,15607637,RB/FLEX,5000,DEN@NE 10/18/2020 01:00PM ET,NE,13
,,,,,,,,,,WR,Keelan Cole (15607867),Keelan Cole,15607867,WR/FLEX,4900,DET@JAX 10/18/2020 01:00PM ET,JAX,12.22
,,,,,,,,,,RB,Devonta Freeman (15607639),Devonta Freeman,15607639,RB/FLEX,4900,WAS@NYG 10/18/2020 01:00PM ET,NYG,9.5
,,,,,,,,,,TE,Evan Engram (15608123),Evan Engram,15608123,TE/FLEX,4900,WAS@NYG 10/18/2020 01:00PM ET,NYG,7.92
,,,,,,,,,,WR,Diontae Johnson (15607863),Diontae Johnson,15607863,WR/FLEX,4900,CLE@PIT 10/18/2020 01:00PM ET,PIT,8.9
,,,,,,,,,,WR,Jarvis Landry (15607865),Jarvis Landry,15607865,WR/FLEX,4900,CLE@PIT 10/18/2020 01:00PM ET,CLE,10.88
,,,,,,,,,,QB,Jeff Driskel (15607566),Jeff Driskel,15607566,QB,4900,DEN@NE 10/18/2020 01:00PM ET,DEN,10.69
,,,,,,,,,,QB,Matt Schaub (15607569),Matt Schaub,15607569,QB,4800,ATL@MIN 10/18/2020 01:00PM ET,ATL,0
,,,,,,,,,,WR,Russell Gage (15607873),Russell Gage,15607873,WR/FLEX,4800,ATL@MIN 10/18/2020 01:00PM ET,ATL,10.44
,,,,,,,,,,WR,Sterling Shepard (15607871),Sterling Shepard,15607871,WR/FLEX,4800,WAS@NYG 10/18/2020 01:00PM ET,NYG,8.1
,,,,,,,,,,QB,AJ McCarron (15607568),AJ McCarron,15607568,QB,4800,HOU@TEN 10/18/2020 01:00PM ET,HOU,0
,,,,,,,,,,WR,Corey Davis (15607869),Corey Davis,15607869,WR/FLEX,4800,HOU@TEN 10/18/2020 01:00PM ET,TEN,14.87
,,,,,,,,,,QB,Mason Rudolph (15607567),Mason Rudolph,15607567,QB,4800,CLE@PIT 10/18/2020 01:00PM ET,PIT,0
,,,,,,,,,,RB,James White (15607641),James White,15607641,RB/FLEX,4800,DEN@NE 10/18/2020 01:00PM ET,NE,10.55
,,,,,,,,,,WR,Preston Williams (15607875),Preston Williams,15607875,WR/FLEX,4700,NYJ@MIA 10/18/2020 04:05PM ET,MIA,9.7
,,,,,,,,,,WR,Zach Pascal (15607877),Zach Pascal,15607877,WR/FLEX,4700,CIN@IND 10/18/2020 01:00PM ET,IND,6.48
,,,,,,,,,,WR,Tee Higgins (15607879),Tee Higgins,15607879,WR/FLEX,4700,CIN@IND 10/18/2020 01:00PM ET,CIN,10.14
,,,,,,,,,,RB,Adrian Peterson (15607643),Adrian Peterson,15607643,RB/FLEX,4700,DET@JAX 10/18/2020 01:00PM ET,DET,9.4
