,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Buccaneers,47.4,44.4,46.1,19.0,14.0,15.6,14.0,8.3,11.2,19.0,15.8,17.4,3.5,2.1,2.8,1.0,0.0,0.5,404.9,342.6,372.4,4985.0,5879.9,5519.7,133.6,111.1,117.7,dynasty_draft,2021,DST
1,Steelers,55.3,40.9,47.8,18.0,10.8,14.7,13.0,8.4,10.3,18.0,13.6,15.8,3.4,1.9,2.7,1.0,1.0,1.0,419.2,319.0,366.6,4937.6,6013.3,5563.4,137.7,95.9,116.2,dynasty_draft,2021,DST
2,Rams,56.0,41.1,47.1,16.0,11.5,14.1,14.0,8.3,10.7,19.0,12.7,15.8,3.2,2.0,2.7,1.0,1.0,1.0,393.6,346.0,367.8,5060.0,5875.2,5604.8,135.2,95.6,115.2,dynasty_draft,2021,DST
3,Team,57.8,42.6,47.9,17.0,11.3,13.7,12.0,8.9,10.5,16.0,15.4,15.7,3.2,2.0,2.5,1.0,0.0,0.5,406.7,335.0,374.9,5060.8,6018.7,5604.8,135.0,99.9,111.9,dynasty_draft,2021,DST
4,Colts,44.7,40.6,42.2,16.0,12.2,14.1,14.0,7.9,10.7,19.0,14.9,17.0,3.5,2.6,3.0,2.0,0.0,1.0,429.1,360.0,387.2,5486.4,6053.8,5800.0,125.7,97.7,111.4,dynasty_draft,2021,DST
5,Ravens,41.0,34.0,38.3,15.0,12.0,13.0,15.0,7.9,11.3,21.0,15.8,18.4,4.0,2.4,3.2,1.0,1.0,1.0,409.7,316.0,355.0,5251.2,6012.1,5665.6,118.0,100.6,107.8,dynasty_draft,2021,DST
6,Eagles,58.8,40.5,45.8,14.0,9.0,12.2,15.0,7.7,10.2,21.0,11.9,16.4,3.2,2.0,2.4,1.0,1.0,1.0,433.0,386.2,410.2,5654.4,6316.1,6086.1,136.0,93.8,107.2,dynasty_draft,2021,DST
7,Saints,48.1,40.4,43.7,21.0,12.0,14.7,11.0,7.3,9.3,15.0,11.2,13.1,3.4,2.0,2.5,0.0,0.0,0.0,413.8,365.0,384.5,5266.0,5975.5,5691.7,132.5,94.9,106.9,dynasty_draft,2021,DST
8,Seahawks,43.2,40.8,42.0,15.0,13.0,13.9,12.0,8.2,9.9,16.0,13.2,14.6,2.9,2.0,2.4,2.0,0.0,1.0,426.8,377.0,395.0,5671.0,6273.7,6011.6,112.4,100.0,106.0,dynasty_draft,2021,DST
9,Cardinals,51.0,45.0,46.6,13.0,9.0,11.6,15.0,7.8,10.5,20.0,14.2,17.1,3.0,1.0,2.1,1.0,1.0,1.0,429.0,374.0,391.0,5708.8,6198.7,5962.2,125.0,91.0,105.6,dynasty_draft,2021,DST
10,Packers,44.3,40.4,42.0,18.0,13.0,14.5,12.0,7.0,8.9,16.0,12.5,14.3,3.2,2.0,2.5,1.0,0.0,0.5,422.1,360.0,385.5,5496.0,6163.8,5913.5,123.5,94.0,104.9,dynasty_draft,2021,DST
11,Patriots,47.0,34.3,39.6,20.0,12.5,15.4,10.0,7.5,8.9,14.0,11.5,12.8,3.5,2.0,2.6,1.0,0.0,0.5,406.3,315.0,354.8,5246.4,6245.6,5819.5,115.3,92.1,104.8,dynasty_draft,2021,DST
12,Browns,41.1,38.4,39.2,18.0,12.0,14.0,12.0,8.6,10.1,17.0,13.3,15.2,3.2,2.0,2.5,1.0,1.0,1.0,426.0,359.8,391.9,5728.0,6148.5,5921.1,117.7,98.8,104.3,dynasty_draft,2021,DST
13,Bills,42.2,38.0,40.1,17.0,13.8,14.7,12.0,7.4,9.5,17.0,13.0,15.0,3.5,2.0,2.6,0.0,0.0,0.0,387.3,348.0,369.9,5357.0,5956.6,5740.8,117.0,99.9,104.2,dynasty_draft,2021,DST
14,Panthers,41.2,31.0,36.6,17.0,11.0,13.6,17.0,8.4,12.0,24.0,16.4,20.2,3.6,2.0,2.6,1.0,0.0,0.5,449.0,406.4,427.9,5796.0,6197.5,6059.4,126.6,91.0,104.1,dynasty_draft,2021,DST
15,Dolphins,45.8,25.0,38.5,17.0,13.1,14.8,12.0,6.0,8.9,17.0,14.1,15.5,3.6,2.0,2.7,1.0,1.0,1.0,466.0,372.0,404.3,6022.3,6360.0,6199.2,125.4,83.0,103.9,dynasty_draft,2021,DST
16,Chiefs,40.5,35.0,37.4,16.0,12.1,14.3,12.0,8.0,9.3,17.0,13.0,15.0,3.9,2.4,3.1,1.0,0.0,0.5,414.3,372.0,389.8,5668.8,6223.1,6000.3,117.6,98.1,103.8,dynasty_draft,2021,DST
17,Cowboys,42.9,35.0,38.9,16.0,9.0,12.8,16.0,8.6,11.8,22.0,16.5,19.2,3.8,2.0,2.6,0.0,0.0,0.0,451.0,385.0,415.0,5971.2,6389.0,6143.5,129.7,95.0,103.7,dynasty_draft,2021,DST
18,49ers,43.2,38.0,40.9,16.0,11.3,13.0,13.0,8.1,10.2,18.0,14.7,16.3,3.0,2.0,2.5,0.0,0.0,0.0,388.8,372.0,378.2,4938.0,5967.5,5522.0,118.3,100.0,102.2,dynasty_draft,2021,DST
19,Broncos,44.0,38.5,41.4,15.0,11.0,12.5,11.0,7.7,8.8,16.0,11.9,13.9,3.1,2.0,2.5,1.0,1.0,1.0,422.8,354.7,397.4,5471.0,6322.8,5880.4,113.8,93.5,100.8,dynasty_draft,2021,DST
20,Giants,45.4,35.0,39.7,14.2,11.0,12.9,14.0,8.0,9.7,20.0,13.3,16.7,3.0,2.0,2.4,1.0,0.0,0.5,467.0,374.6,412.4,5805.0,6218.8,6085.5,119.4,87.0,100.5,dynasty_draft,2021,DST
21,Chargers,44.0,35.9,38.5,17.0,12.1,13.6,11.0,6.0,8.6,15.0,9.3,12.2,3.1,2.0,2.7,1.0,0.0,0.5,422.9,329.0,394.8,4812.8,6180.0,5745.7,110.5,86.7,100.0,dynasty_draft,2021,DST
22,Vikings,39.8,29.8,35.4,18.0,11.4,14.2,13.0,7.0,8.9,18.0,11.3,14.6,3.3,2.0,2.5,0.0,0.0,0.0,437.0,355.6,399.9,5910.4,6425.2,6152.8,111.6,88.0,96.6,dynasty_draft,2021,DST
23,Falcons,41.0,29.6,34.2,14.0,12.0,13.3,13.0,8.1,10.1,19.0,15.8,17.4,3.1,2.0,2.5,0.0,0.0,0.0,420.0,403.0,408.5,6186.1,6281.0,6241.2,102.8,90.0,96.1,dynasty_draft,2021,DST
24,Bears,38.0,34.0,36.0,14.0,10.0,11.9,13.0,8.4,10.0,18.0,15.0,16.5,3.1,1.0,2.2,1.0,0.0,0.5,423.7,383.0,396.9,5443.2,6187.1,5848.6,107.6,86.0,94.1,dynasty_draft,2021,DST
25,Titans,43.3,24.0,33.0,15.0,13.0,14.1,11.0,7.8,8.8,16.0,13.1,14.6,3.1,2.0,2.4,0.0,0.0,0.0,456.0,388.8,419.9,6157.0,6251.2,6202.0,102.4,78.0,93.6,dynasty_draft,2021,DST
26,Raiders,38.6,25.3,32.0,15.0,11.0,12.8,11.0,8.0,9.0,15.0,13.1,14.1,2.9,2.0,2.3,1.0,0.0,0.5,500.0,422.2,452.8,5614.4,6449.0,6185.0,94.7,79.0,90.4,dynasty_draft,2021,DST
27,Jets,42.7,23.0,34.8,15.0,9.0,12.4,12.0,6.0,9.0,16.0,14.8,15.4,2.6,1.0,2.1,0.0,0.0,0.0,468.0,417.9,432.4,5697.0,6278.4,6042.0,104.8,59.0,89.9,dynasty_draft,2021,DST
28,Jaguars,39.4,25.0,32.0,14.0,11.0,12.5,10.0,7.0,8.1,13.0,11.1,12.0,2.9,2.0,2.5,1.0,0.0,0.5,469.0,421.6,450.6,6256.6,6728.0,6487.6,93.6,81.0,88.9,dynasty_draft,2021,DST
29,Lions,38.7,27.0,32.6,13.0,7.0,10.6,11.0,6.0,9.0,15.7,14.0,14.8,2.8,1.0,2.0,1.0,0.0,0.5,505.0,453.1,475.7,6340.1,6830.4,6635.6,94.0,67.0,84.9,dynasty_draft,2021,DST
30,Texans,39.7,28.0,33.9,12.4,9.0,10.5,11.0,7.0,8.6,15.0,12.5,13.8,2.3,1.0,1.9,1.0,0.0,0.5,536.0,443.0,474.7,6333.8,7334.0,6647.5,92.1,66.0,84.8,dynasty_draft,2021,DST
31,Bengals,36.8,19.6,27.7,15.0,11.6,12.9,10.0,6.0,8.3,14.0,13.8,13.9,3.1,0.0,2.0,1.0,0.0,0.5,490.0,414.1,442.1,6220.2,6596.0,6358.9,95.4,62.0,83.4,dynasty_draft,2021,DST
