,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Josh Allen,BUF,630.1,561.0,605.2,418.5,376.0,400.3,4739.7,4322.0,4572.7,35.0,32.1,34.0,11.0,16.3,13.3,127.6,102.0,110.9,590.7,447.0,520.3,10.0,6.2,7.7,5.0,5.3,5.1,438.8,372.9,380.1,dynasty_draft,2021,QB
1,Patrick Mahomes,KC,656.0,589.0,629.8,442.0,389.0,418.2,5212.8,4833.0,5020.5,40.0,36.7,38.8,7.0,10.1,8.9,69.9,29.0,55.3,328.5,150.0,267.2,4.0,2.0,2.9,1.0,3.9,2.5,442.2,370.6,377.6,dynasty_draft,2021,QB
2,Kyler Murray,ARI,623.5,575.0,591.0,414.9,375.7,391.4,4592.8,4055.8,4218.1,30.0,24.8,27.0,11.5,16.0,12.9,133.4,120.0,126.5,728.0,644.6,702.4,8.6,7.0,7.7,3.0,4.3,3.7,417.9,352.9,360.0,dynasty_draft,2021,QB
3,Lamar Jackson,BAL,489.5,437.0,456.6,317.2,273.0,292.5,3549.1,3106.0,3332.5,30.6,25.8,28.3,9.8,15.0,11.7,189.0,130.0,160.3,1248.0,857.0,965.9,8.2,6.6,7.2,3.0,5.1,4.0,406.8,330.7,354.8,dynasty_draft,2021,QB
4,Dak Prescott,DAL,649.0,584.0,623.0,432.0,392.0,416.4,5163.3,4559.0,4848.9,32.0,29.7,31.1,6.3,15.0,11.1,71.2,57.0,63.5,350.5,257.8,296.6,5.6,3.0,4.0,4.0,4.4,4.2,403.9,341.2,341.5,dynasty_draft,2021,QB
5,Russell Wilson,SEA,594.9,538.3,575.5,400.0,350.7,383.9,4394.7,4079.7,4285.1,37.0,30.8,34.7,10.8,15.0,12.3,98.0,73.9,81.8,488.0,407.3,441.4,2.2,2.0,2.1,3.0,4.1,3.5,426.3,311.5,334.9,dynasty_draft,2021,QB
6,Aaron Rodgers,GB,590.5,553.0,572.2,397.1,370.0,385.9,4582.3,4299.5,4452.5,39.0,35.1,36.8,5.7,9.0,7.2,45.0,37.0,39.9,178.8,155.0,168.6,2.0,1.5,1.9,3.0,3.2,3.1,400.5,318.3,333.0,dynasty_draft,2021,QB
7,Justin Herbert,LAC,654.0,585.0,615.2,420.0,374.0,399.4,4805.0,4388.0,4577.3,34.1,27.8,30.5,11.0,14.0,12.0,67.9,56.1,61.2,306.8,248.0,273.0,7.0,3.0,4.4,1.0,4.2,2.6,379.9,307.2,329.4,dynasty_draft,2021,QB
8,Tom Brady,TB,652.0,596.0,621.3,419.0,389.1,404.5,4882.0,4531.0,4698.7,38.2,36.5,37.2,10.2,15.0,11.9,31.0,16.0,24.5,52.7,19.0,31.8,3.0,1.1,2.1,1.0,3.3,2.2,388.5,318.1,324.1,dynasty_draft,2021,QB
9,Jalen Hurts,PHI,594.0,472.0,539.9,378.8,278.0,329.7,4248.8,3350.0,3731.6,25.3,20.2,22.4,12.1,18.0,14.4,155.0,112.2,134.1,797.0,544.8,692.1,6.0,5.7,5.9,3.0,6.5,4.7,364.7,291.1,305.3,dynasty_draft,2021,QB
10,Ryan Tannehill,TEN,577.0,490.0,528.0,378.2,324.0,348.7,4361.1,3904.0,4111.3,32.1,27.0,30.0,9.0,12.8,10.6,58.0,47.2,51.9,259.0,209.8,229.4,5.0,2.2,3.4,2.0,3.7,2.9,360.2,289.3,301.3,dynasty_draft,2021,QB
11,Joe Burrow,CIN,638.0,592.6,612.2,409.0,386.1,399.9,4622.6,4158.0,4313.3,28.0,25.0,26.5,9.4,15.0,11.8,65.0,41.2,54.1,247.6,184.1,227.4,3.8,2.3,3.0,3.0,5.4,4.2,349.2,284.0,287.4,dynasty_draft,2021,QB
12,Matthew Stafford,LAR,641.0,585.0,612.2,441.0,374.0,405.4,4736.0,4330.0,4564.3,32.9,26.0,28.5,10.0,13.0,11.5,38.0,24.0,31.7,144.0,87.0,120.6,1.5,0.0,0.7,3.0,3.4,3.2,333.2,279.5,283.4,dynasty_draft,2021,QB
13,Kirk Cousins,MIN,579.0,519.6,541.9,385.0,347.2,364.1,4469.6,3999.8,4273.6,32.0,27.8,30.1,11.2,16.0,13.3,54.0,18.8,35.3,152.0,76.7,114.2,1.4,1.0,1.1,4.0,4.2,4.1,346.2,258.7,274.4,dynasty_draft,2021,QB
14,Trevor Lawrence,JAC,636.0,555.0,593.2,406.0,344.0,379.6,4449.1,3883.0,4170.8,27.9,22.0,24.7,9.1,15.0,13.1,88.0,39.4,68.8,485.0,172.6,334.6,3.0,1.4,2.3,4.4,8.0,6.2,333.1,266.6,274.1,dynasty_draft,2021,QB
15,Matt Ryan,ATL,670.0,579.0,612.0,436.0,377.0,400.3,4738.0,4230.0,4503.3,29.2,25.0,26.8,10.9,17.0,12.7,38.0,28.9,33.0,136.0,108.6,117.7,2.0,1.0,1.4,3.6,5.0,4.3,328.8,266.2,273.4,dynasty_draft,2021,QB
16,Baker Mayfield,CLE,564.8,531.0,543.5,374.6,332.0,346.7,4170.3,3900.5,3991.7,29.9,25.0,28.1,10.0,14.0,11.5,51.4,34.5,44.2,189.1,153.0,168.4,2.3,1.0,1.8,3.0,3.8,3.4,318.8,270.8,269.6,dynasty_draft,2021,QB
17,Tua Tagovailoa,MIA,611.0,543.9,574.2,414.0,344.0,374.1,4219.0,3655.0,3946.6,29.5,23.0,25.9,10.9,16.0,13.5,59.0,53.0,55.7,240.8,195.0,211.7,3.1,2.0,2.8,1.0,2.5,1.7,306.3,262.4,268.8,dynasty_draft,2021,QB
18,Ryan Fitzpatrick,WAS,617.0,548.0,582.4,405.9,366.5,386.6,4544.5,3943.0,4141.9,26.6,22.1,23.9,12.0,21.0,16.6,58.0,41.7,50.6,316.0,189.5,245.9,6.0,1.0,3.0,1.0,3.6,2.3,317.5,262.3,266.3,dynasty_draft,2021,QB
19,Derek Carr,LV,594.9,532.0,564.1,393.3,351.0,373.3,4539.7,4152.0,4301.8,29.0,24.8,26.4,10.0,13.0,11.1,36.0,23.7,30.4,120.0,95.0,106.6,3.0,1.0,1.8,4.5,6.0,5.2,327.1,257.1,266.1,dynasty_draft,2021,QB
20,Ben Roethlisberger,PIT,677.0,536.0,617.2,434.0,343.0,400.1,4305.7,4022.0,4169.1,32.4,26.8,29.5,11.0,17.2,14.0,30.0,6.0,20.9,74.2,9.0,45.0,1.2,0.0,0.5,1.0,3.4,2.2,318.0,254.6,260.1,dynasty_draft,2021,QB
21,Carson Wentz,IND,579.3,487.0,536.6,364.5,297.0,336.5,4004.5,3310.0,3699.6,29.2,21.0,25.0,10.0,14.5,12.6,72.0,47.0,58.3,320.0,211.0,254.4,4.0,1.0,2.8,4.8,7.0,5.9,299.2,238.0,253.1,dynasty_draft,2021,QB
22,Daniel Jones,NYG,574.5,515.0,547.7,364.8,319.0,343.0,3940.9,3501.0,3759.0,22.7,21.8,22.1,12.6,16.0,13.6,77.5,65.0,70.2,462.0,367.2,402.9,4.0,2.0,2.6,6.0,11.0,8.5,322.3,254.2,250.6,dynasty_draft,2021,QB
23,Sam Darnold,CAR,589.0,527.0,556.6,380.0,327.0,351.1,4135.0,3845.0,3927.9,25.5,17.4,22.2,12.5,18.0,14.7,54.0,45.8,50.6,277.0,187.3,220.0,6.0,2.0,3.3,3.9,4.0,3.9,324.0,222.3,250.5,dynasty_draft,2021,QB
24,Zach Wilson,NYJ,594.8,531.7,554.4,388.1,330.0,351.2,4372.5,3729.0,3950.9,25.8,19.0,21.5,13.1,20.0,15.4,101.0,51.7,66.9,536.0,228.1,319.7,3.0,2.0,2.5,4.0,9.0,6.5,300.0,240.5,247.2,dynasty_draft,2021,QB
25,Jameis Winston,NO,598.3,445.0,523.5,390.0,276.0,337.4,4692.9,3250.0,3841.6,32.0,20.2,26.0,13.0,20.5,16.7,54.0,27.3,44.9,232.0,118.6,191.7,1.5,1.0,1.2,4.0,4.4,4.2,286.0,211.9,241.9,dynasty_draft,2021,QB
26,Jared Goff,DET,623.7,487.0,579.4,412.8,302.0,370.3,4461.3,3459.0,4138.1,24.9,20.0,22.4,12.5,19.0,14.9,47.0,28.3,39.6,113.2,67.0,89.1,2.0,1.0,1.7,4.0,4.3,4.2,266.5,243.3,235.9,dynasty_draft,2021,QB
27,Trey Lance,SF,508.0,280.0,412.2,335.0,179.0,265.8,3925.0,2074.0,3075.6,25.0,13.0,19.4,6.0,17.0,11.1,107.0,50.8,78.7,646.0,226.1,419.6,5.1,2.0,3.3,3.1,6.0,4.5,311.6,199.8,231.0,dynasty_draft,2021,QB
28,Teddy Bridgewater,DEN,561.0,372.0,474.4,377.9,246.0,306.6,4183.7,2756.0,3497.2,27.0,16.0,21.1,8.9,18.0,13.3,66.0,28.0,50.0,280.0,144.0,211.4,3.2,2.0,2.6,2.0,2.6,2.3,278.5,204.1,229.5,dynasty_draft,2021,QB
29,Justin Fields,CHI,611.0,293.8,463.8,398.0,187.7,292.0,3927.0,2062.2,3138.5,27.0,14.8,19.2,6.5,19.0,11.6,119.0,41.0,82.8,645.0,186.6,416.3,4.4,1.8,3.0,4.0,14.0,9.0,315.6,154.1,221.1,dynasty_draft,2021,QB
30,Cam Newton,NE,481.0,224.3,307.5,317.0,147.0,201.1,3437.0,1658.0,2219.1,22.0,8.9,13.0,5.8,19.0,9.8,125.0,54.3,84.8,499.0,235.9,362.0,8.0,3.9,5.7,1.7,3.0,2.3,285.4,134.2,186.5,dynasty_draft,2021,QB
31,Deshaun Watson,HOU,337.0,224.0,285.6,228.0,146.0,192.2,2702.0,1705.0,2284.9,15.0,10.0,13.0,5.0,9.0,6.7,54.0,21.0,41.0,252.0,98.0,192.7,3.0,0.0,1.9,2.0,2.0,2.0,189.3,135.1,156.6,dynasty_draft,2021,QB
32,Tyrod Taylor,HOU,387.8,221.0,315.9,244.7,150.0,195.9,2751.5,1771.0,2229.3,13.0,10.0,11.7,6.0,7.0,6.3,48.1,13.0,32.1,229.4,29.0,146.5,2.4,0.0,1.2,0.0,2.2,1.1,197.4,101.7,143.1,dynasty_draft,2021,QB
33,Mac Jones,NE,319.9,52.0,220.9,203.8,34.0,138.5,2278.1,369.0,1559.2,12.0,2.0,9.1,2.0,8.3,6.2,29.4,2.0,18.6,115.0,7.0,69.0,1.8,0.0,0.9,0.0,2.4,1.2,145.3,19.5,96.1,dynasty_draft,2021,QB
34,Davis Mills,HOU,191.7,191.7,191.7,119.2,119.2,119.2,1368.6,1368.6,1368.6,6.6,6.6,6.6,5.1,5.1,5.1,13.0,13.0,13.0,55.2,55.2,55.2,0.6,0.6,0.6,1.4,1.4,1.4,77.2,77.2,77.2,dynasty_draft,2021,QB
35,Jimmy Garoppolo,SF,281.0,85.0,160.9,191.0,57.4,109.1,2167.0,685.1,1273.2,12.0,4.4,7.3,2.0,6.0,4.0,24.0,4.2,12.1,46.0,17.2,28.1,1.0,0.0,0.4,1.0,1.3,1.2,167.0,43.2,75.1,dynasty_draft,2021,QB
36,Taysom Hill,NO,121.8,0.0,63.0,83.4,0.0,42.3,888.1,0.0,443.0,6.0,0.0,2.5,0.0,2.6,1.1,83.0,15.9,56.5,467.0,73.3,305.9,6.0,1.1,3.7,2.0,4.0,3.0,120.4,26.0,72.1,dynasty_draft,2021,QB
37,Andy Dalton,CHI,294.5,46.0,135.6,191.5,30.0,87.2,2012.9,290.0,922.3,12.1,2.0,5.9,1.0,6.8,3.5,24.0,5.0,12.3,68.0,19.0,41.3,0.7,0.0,0.3,0.0,0.5,0.3,123.9,19.5,58.7,dynasty_draft,2021,QB
38,Drew Lock,DEN,164.0,0.0,85.5,97.0,0.0,51.1,1085.0,0.0,590.8,7.0,0.0,3.7,0.0,4.1,2.3,18.0,0.0,8.7,65.0,0.0,34.4,0.6,0.0,0.1,0.0,1.2,0.6,88.8,0.0,36.9,dynasty_draft,2021,QB
39,Jacob Eason,IND,92.0,0.0,45.7,55.0,0.0,27.7,642.0,0.0,312.8,3.0,0.0,1.6,0.0,3.0,1.4,7.0,0.0,2.6,38.0,0.0,12.6,0.1,0.0,0.0,0.0,0.4,0.2,47.9,0.0,17.2,dynasty_draft,2021,QB
40,Kyle Trask,TB,49.0,20.0,34.5,29.6,13.0,21.3,343.3,149.0,246.1,2.8,1.0,1.9,0.0,1.4,0.7,1.7,1.0,1.3,7.1,3.0,5.0,0.1,0.0,0.0,0.0,0.4,0.2,22.5,10.3,16.4,dynasty_draft,2021,QB
41,Jeff Driskel,HOU,34.0,34.0,34.0,21.2,21.2,21.2,244.3,244.3,244.3,1.2,1.2,1.2,0.8,0.8,0.8,3.4,3.4,3.4,18.1,18.1,18.1,0.2,0.2,0.2,0.2,0.2,0.2,15.3,15.3,15.3,dynasty_draft,2021,QB
