,Player,POS,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Christian McCaffrey,RB1,CAR,351.4,250.2,297.7,1615.6,1066.4,1304.2,13.0,10.4,12.1,109.0,85.8,96.9,938.0,683.0,787.9,5.0,2.5,4.3,1.0,4.0,2.5,338.6,250.6,302.2,draft,2021,FLEX
1,Dalvin Cook,RB2,MIN,340.6,296.0,317.4,1600.3,1353.7,1490.2,15.0,11.6,13.0,66.2,46.0,56.0,574.7,385.0,481.7,3.4,1.0,2.0,1.8,4.0,2.9,311.6,251.1,281.2,draft,2021,FLEX
2,Derrick Henry,RB3,TEN,366.9,323.0,344.4,1770.7,1557.4,1687.0,16.2,13.4,14.4,30.9,21.0,25.8,238.1,145.0,191.8,1.6,1.0,1.2,1.3,4.0,2.7,304.2,259.5,275.8,draft,2021,FLEX
3,Alvin Kamara,RB4,NO,234.0,177.0,206.9,1068.9,813.0,945.7,12.5,7.4,9.7,88.0,72.4,77.9,677.0,655.0,666.4,4.2,3.0,3.4,0.8,3.0,1.9,271.6,217.6,236.2,draft,2021,FLEX
4,Saquon Barkley,RB5,NYG,289.7,241.0,272.9,1334.2,1156.0,1261.8,11.0,8.0,9.4,65.7,50.0,57.8,490.9,422.0,448.2,2.9,1.0,2.0,0.7,3.0,1.8,265.8,217.8,235.7,draft,2021,FLEX
5,Jonathan Taylor,RB6,IND,298.8,253.0,275.3,1405.9,1215.0,1280.6,14.6,8.0,11.0,51.0,34.9,42.3,404.0,264.1,325.6,2.0,1.6,1.9,0.9,3.0,1.9,264.6,214.0,234.0,draft,2021,FLEX
6,Tyreek Hill,WR1,KC,15.0,9.5,12.9,96.4,51.9,81.8,1.0,0.4,0.8,111.3,93.0,100.7,1599.0,1296.0,1440.3,13.8,10.2,12.2,0.4,1.0,0.7,250.1,213.7,229.3,draft,2021,FLEX
7,Nick Chubb,RB7,CLE,312.3,222.0,274.3,1644.0,1110.0,1374.5,13.1,10.0,11.1,34.7,22.0,28.6,280.4,198.0,226.9,1.5,0.0,1.0,0.9,3.0,1.9,257.8,198.3,228.7,draft,2021,FLEX
8,Aaron Jones,RB8,GB,266.7,205.8,231.1,1235.9,1003.7,1120.1,11.4,8.6,10.3,57.2,44.0,50.1,437.0,342.0,392.0,3.0,2.0,2.6,1.3,3.0,2.1,244.1,209.6,224.3,draft,2021,FLEX
9,Ezekiel Elliott,RB9,DAL,299.0,266.7,282.1,1235.0,1121.6,1204.5,10.0,8.0,9.5,58.9,45.0,51.9,468.8,310.0,383.5,3.4,2.0,2.3,1.9,4.0,2.9,245.8,219.0,223.9,draft,2021,FLEX
10,Davante Adams,WR2,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,114.1,123.6,1666.0,1337.8,1492.7,15.0,11.0,12.6,0.6,1.0,0.8,256.6,205.6,223.3,draft,2021,FLEX
11,Joe Mixon,RB10,CIN,303.6,261.6,278.1,1334.9,1050.5,1172.1,9.3,7.5,8.2,54.7,48.0,50.2,410.6,339.0,368.3,5.0,1.9,2.9,1.0,3.0,2.0,244.9,193.7,216.5,draft,2021,FLEX
12,Najee Harris,RB11,PIT,297.9,237.0,259.5,1390.5,1029.0,1153.4,11.3,6.0,8.6,63.0,42.0,49.8,466.0,308.6,368.3,3.0,1.8,2.2,1.1,4.0,2.6,247.7,193.8,212.1,draft,2021,FLEX
13,Antonio Gibson,RB12,WAS,293.0,218.0,245.4,1340.1,991.0,1103.3,11.4,9.0,9.9,48.0,42.0,45.6,363.4,275.0,331.8,2.0,0.0,1.4,1.2,3.0,2.1,247.3,186.6,206.8,draft,2021,FLEX
14,Austin Ekeler,RB13,LAC,215.6,156.0,180.8,995.7,699.0,822.2,7.2,3.0,4.7,93.0,74.7,80.4,906.0,611.0,698.8,8.0,2.9,4.9,1.1,2.0,1.6,234.7,183.2,206.8,draft,2021,FLEX
15,Stefon Diggs,WR3,BUF,4.7,0.0,2.4,27.0,0.0,15.5,0.2,0.0,0.1,129.7,100.0,113.6,1581.0,1343.0,1479.6,11.3,8.0,9.2,0.5,2.0,1.2,227.0,182.3,202.7,draft,2021,FLEX
16,Travis Kelce,TE1,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,95.0,112.6,1535.0,1220.0,1405.5,11.0,8.0,10.1,0.6,1.0,0.8,219.5,170.0,199.8,draft,2021,FLEX
17,Calvin Ridley,WR4,ATL,6.1,4.0,4.8,31.3,22.9,26.3,0.2,0.0,0.1,106.6,95.4,99.7,1507.4,1380.0,1425.8,11.0,7.6,9.1,0.6,1.0,0.8,210.5,185.4,198.7,draft,2021,FLEX
18,D'Andre Swift,RB14,DET,246.3,188.0,206.6,1120.9,811.3,905.8,11.0,5.9,8.4,69.0,46.0,60.0,531.0,339.0,447.1,2.4,2.0,2.1,1.7,3.0,2.3,225.9,168.4,193.3,draft,2021,FLEX
19,Clyde Edwards-Helaire,RB15,KC,250.6,203.8,221.3,1143.8,896.2,996.0,8.5,6.0,7.2,57.8,44.0,50.5,426.1,361.0,390.4,3.3,1.0,2.2,0.5,3.0,1.8,228.2,176.3,191.6,draft,2021,FLEX
20,Chris Carson,RB16,SEA,265.8,201.0,228.2,1203.2,945.0,1045.5,8.1,6.0,7.3,46.0,39.3,43.4,337.3,285.1,321.1,3.0,1.9,2.4,1.2,3.0,2.1,217.6,181.8,190.8,draft,2021,FLEX
21,JK Dobbins,RB17,BAL,244.1,189.0,209.7,1186.0,943.1,1066.1,11.0,7.0,9.3,36.0,26.0,31.2,287.5,177.0,237.5,2.2,0.0,1.2,1.1,2.0,1.6,219.0,162.2,190.3,draft,2021,FLEX
22,DeAndre Hopkins,WR5,ARI,2.0,0.0,0.9,10.0,0.0,4.4,0.0,0.0,0.0,134.0,112.0,121.7,1543.0,1371.5,1461.6,9.0,7.0,7.6,0.9,2.0,1.5,208.2,178.5,189.0,draft,2021,FLEX
23,Josh Jacobs,RB18,LV,265.0,227.0,249.8,1187.4,977.0,1068.2,10.6,8.0,9.4,34.4,27.0,31.5,259.2,202.0,236.3,1.4,0.0,0.9,1.0,3.0,2.0,214.4,174.6,188.2,draft,2021,FLEX
24,DK Metcalf,WR6,SEA,1.0,0.0,0.3,5.0,0.0,1.3,0.0,0.0,0.0,94.5,81.0,86.6,1380.0,1246.0,1305.1,10.0,9.8,9.9,0.7,2.0,1.4,194.7,184.6,187.5,draft,2021,FLEX
25,David Montgomery,RB19,CHI,286.1,228.0,249.5,1251.6,932.0,1044.7,10.3,6.0,7.9,40.0,35.0,37.5,311.0,284.0,297.1,2.0,1.0,1.5,0.9,3.0,1.9,226.1,168.7,186.9,draft,2021,FLEX
26,Justin Jefferson,WR7,MIN,1.0,0.0,0.4,3.8,0.0,1.5,0.0,0.0,0.0,101.6,89.4,94.5,1566.0,1270.0,1399.4,9.0,7.0,7.9,0.5,1.0,0.8,201.0,171.1,185.9,draft,2021,FLEX
27,Miles Sanders,RB20,PHI,238.4,196.0,217.8,1109.9,922.0,1044.9,8.1,5.0,6.4,53.7,34.0,43.8,459.8,244.0,362.4,2.5,1.0,1.7,1.7,2.0,1.8,215.6,152.6,185.9,draft,2021,FLEX
28,AJ Brown,WR8,TEN,2.0,0.0,0.5,30.0,0.0,7.5,0.0,0.0,0.0,98.7,72.0,84.6,1410.5,1156.0,1269.2,11.0,9.0,9.8,0.8,1.0,0.9,198.6,169.6,184.7,draft,2021,FLEX
29,Darrell Henderson,RB21,LAR,297.9,167.0,230.6,1256.0,719.0,988.6,9.8,5.0,7.4,36.3,26.0,32.7,291.7,233.0,273.9,2.1,1.0,1.7,0.7,3.0,1.9,226.1,142.5,177.0,draft,2021,FLEX
30,Myles Gaskin,RB22,MIA,249.5,187.0,215.9,1114.5,787.0,917.4,9.6,4.0,6.1,52.0,41.3,48.2,427.0,274.9,372.6,2.0,1.9,2.0,1.1,3.0,2.1,204.8,157.4,173.2,draft,2021,FLEX
31,Keenan Allen,WR9,LAC,8.0,0.0,3.0,42.6,0.0,16.3,0.4,0.0,0.1,119.0,104.8,111.4,1322.0,1093.3,1207.9,9.0,6.5,7.9,0.9,1.0,1.0,187.2,148.3,168.2,draft,2021,FLEX
32,Mike Evans,WR10,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,66.0,76.1,1250.1,1019.0,1115.8,11.0,9.0,9.6,0.3,1.0,0.7,178.8,155.9,167.6,draft,2021,FLEX
33,Mike Davis,RB23,ATL,270.5,209.0,227.0,1149.1,742.0,895.3,9.2,5.0,6.6,67.0,37.6,48.8,425.0,237.3,311.9,3.0,1.0,1.7,0.7,3.0,1.9,201.5,153.0,166.6,draft,2021,FLEX
34,Amari Cooper,WR11,DAL,4.3,0.0,2.6,24.2,0.0,11.8,0.1,0.0,0.0,98.1,86.0,92.8,1344.2,1138.0,1220.5,8.0,7.0,7.4,0.5,1.0,0.8,177.9,157.1,166.1,draft,2021,FLEX
35,Terry McLaurin,WR12,WAS,4.3,0.0,1.8,22.6,0.0,12.1,0.2,0.0,0.1,99.7,86.0,91.4,1305.5,1152.0,1235.9,8.0,6.0,6.8,0.5,1.0,0.7,175.8,151.2,164.3,draft,2021,FLEX
36,Michael Thomas,WR13,NO,1.0,0.0,0.3,0.0,-4.0,-1.0,0.0,0.0,0.0,117.0,93.0,103.9,1338.0,1075.0,1237.0,7.6,6.0,6.7,0.5,1.0,0.8,175.4,143.5,162.4,draft,2021,FLEX
37,Allen Robinson,WR14,CHI,1.0,0.0,0.3,1.0,0.0,0.3,0.0,0.0,0.0,102.3,93.8,98.3,1276.0,1172.4,1218.8,8.0,5.6,6.9,0.4,1.0,0.7,175.7,150.0,161.8,draft,2021,FLEX
38,Robert Woods,WR15,LAR,22.0,16.3,18.3,147.0,83.7,113.3,1.3,0.7,1.0,109.0,92.0,98.9,1154.0,1041.1,1091.8,7.6,5.0,6.0,0.6,1.0,0.8,172.1,153.1,161.0,draft,2021,FLEX
39,Adam Thielen,WR16,MIN,5.0,0.0,3.2,28.1,0.0,14.5,1.0,0.0,0.3,89.0,76.0,81.1,1129.3,959.0,1033.9,11.0,7.8,9.2,0.5,1.0,0.7,169.4,155.3,160.2,draft,2021,FLEX
40,George Kittle,TE2,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,82.9,96.7,1502.0,1048.7,1213.3,7.3,5.8,6.5,0.3,1.0,0.7,192.2,143.2,159.2,draft,2021,FLEX
41,Chase Edmonds,RB24,ARI,187.3,153.3,173.2,830.0,687.3,770.8,7.3,4.0,4.9,61.0,46.5,52.2,431.0,331.3,382.0,4.0,2.0,2.9,1.0,2.0,1.5,167.4,148.3,159.1,draft,2021,FLEX
42,CeeDee Lamb,WR17,DAL,12.9,0.0,8.5,93.0,0.0,61.4,1.0,0.0,0.6,94.5,77.0,84.3,1295.7,962.0,1100.2,7.0,6.0,6.6,0.6,1.0,0.8,168.2,145.6,158.2,draft,2021,FLEX
43,Darren Waller,TE3,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.7,94.0,100.4,1217.0,1077.6,1148.5,7.6,7.0,7.1,0.7,1.0,0.9,164.0,148.0,155.9,draft,2021,FLEX
44,Tyler Lockett,WR18,SEA,4.4,0.0,1.6,23.9,-1.0,5.7,0.1,0.0,0.0,99.4,84.5,92.5,1091.0,1012.0,1055.7,9.3,7.3,8.4,0.5,1.0,0.7,163.0,147.4,155.3,draft,2021,FLEX
45,DJ Moore,WR19,CAR,5.0,0.0,3.1,34.0,0.0,20.1,0.2,0.0,0.1,90.8,76.0,82.9,1280.0,1088.0,1200.6,7.0,4.6,5.4,0.6,1.0,0.8,164.5,138.8,153.3,draft,2021,FLEX
46,Julio Jones,WR20,TEN,2.0,0.0,0.5,0.0,-2.0,-0.5,0.0,0.0,0.0,88.7,69.0,78.2,1210.0,981.0,1107.3,8.0,6.0,7.2,0.3,1.0,0.7,168.8,134.1,152.9,draft,2021,FLEX
47,Cooper Kupp,WR21,LAR,4.6,3.0,4.0,26.1,21.0,23.8,0.2,0.0,0.1,104.0,80.0,93.6,1115.0,1011.0,1071.4,8.5,5.4,7.2,0.5,1.0,0.7,163.9,139.9,151.9,draft,2021,FLEX
48,Chris Godwin,WR22,TB,1.0,0.0,0.3,8.0,0.0,2.0,0.0,0.0,0.0,94.2,72.0,82.3,1178.5,965.0,1077.3,8.1,6.7,7.4,0.6,1.0,0.8,164.9,144.5,151.0,draft,2021,FLEX
49,Odell Beckham,WR23,CLE,17.0,0.0,5.8,166.0,0.0,51.7,1.0,0.0,0.3,83.0,62.0,71.8,1128.9,918.0,1011.0,8.2,5.0,6.6,0.4,1.0,0.7,162.0,142.0,146.5,draft,2021,FLEX
50,Kareem Hunt,RB25,CLE,173.0,135.2,154.6,773.0,587.5,684.4,7.0,4.4,5.5,41.9,35.0,38.8,342.6,282.0,316.5,3.0,2.0,2.5,0.6,2.0,1.3,165.5,137.1,145.9,draft,2021,FLEX
51,Courtland Sutton,WR24,DEN,4.0,0.0,1.7,22.0,0.0,9.4,0.1,0.0,0.0,76.6,72.7,74.1,1101.0,1023.2,1057.1,8.0,5.5,6.7,0.5,1.0,0.8,160.3,135.0,145.5,draft,2021,FLEX
52,Kenny Golladay,WR25,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9,64.0,70.9,1135.9,991.0,1057.8,8.0,6.0,6.7,0.4,1.0,0.7,151.3,135.1,144.5,draft,2021,FLEX
53,Tee Higgins,WR26,CIN,5.0,0.0,2.3,27.0,0.0,12.3,0.1,0.0,0.0,86.0,75.0,79.2,1137.9,1002.9,1062.4,7.0,6.0,6.4,0.5,1.0,0.8,152.0,138.0,144.3,draft,2021,FLEX
54,Brandon Aiyuk,WR27,SF,28.0,6.0,14.1,157.0,31.2,79.8,1.0,0.2,0.7,80.0,61.0,73.0,1041.0,795.0,929.8,7.4,5.0,6.4,0.4,1.0,0.7,167.8,122.7,141.9,draft,2021,FLEX
55,Ja'Marr Chase,WR28,CIN,3.9,0.0,1.5,23.7,0.0,8.2,0.1,0.0,0.0,83.1,64.0,73.3,1210.0,879.0,1063.0,6.5,6.0,6.1,0.5,2.0,1.2,157.9,123.9,141.7,draft,2021,FLEX
56,Travis Etienne,RB26,JAC,151.7,106.0,130.6,680.4,454.0,581.8,5.0,3.0,4.1,73.0,44.0,60.2,621.0,319.0,479.8,3.0,2.0,2.6,3.0,3.0,3.0,171.2,107.3,140.6,draft,2021,FLEX
57,Javonte Williams,RB27,DEN,203.6,159.0,188.3,899.2,715.0,836.0,7.3,4.8,5.5,29.3,17.0,26.1,250.0,144.0,202.4,1.3,1.0,1.1,0.9,3.0,2.0,157.1,121.9,139.5,draft,2021,FLEX
58,Raheem Mostert,RB28,SF,164.0,144.0,155.6,871.0,720.5,774.4,7.1,5.0,6.1,27.0,22.2,23.8,245.0,181.4,207.7,2.0,1.0,1.3,0.8,2.0,1.4,165.6,130.8,139.4,draft,2021,FLEX
59,Damien Harris,RB29,NE,234.3,188.0,205.3,1091.0,845.0,960.4,7.6,4.0,5.6,19.7,3.0,12.1,156.6,30.0,91.9,0.7,0.0,0.3,0.8,2.0,1.4,158.2,121.9,138.1,draft,2021,FLEX
60,Chase Claypool,WR29,PIT,24.0,0.0,8.2,130.0,0.0,43.9,2.0,0.0,0.6,83.4,54.0,70.0,1020.5,765.0,900.4,8.0,6.0,6.9,0.7,1.0,0.9,157.2,112.5,137.8,draft,2021,FLEX
61,Diontae Johnson,WR30,PIT,6.0,3.7,4.4,33.0,19.7,27.2,0.2,0.0,0.1,100.0,88.0,94.7,1009.0,963.9,985.7,7.5,5.8,6.3,0.9,2.0,1.4,140.8,137.1,136.8,draft,2021,FLEX
62,James Robinson,RB30,JAC,202.0,164.0,182.7,900.0,701.9,798.3,7.0,4.7,5.5,40.0,15.0,29.3,285.0,105.0,209.9,1.2,0.7,1.0,0.9,2.0,1.5,156.2,110.8,136.6,draft,2021,FLEX
63,DJ Chark,WR31,JAC,1.0,0.0,0.3,13.0,0.0,3.3,0.0,0.0,0.0,84.0,70.4,74.5,1095.0,952.0,993.4,8.0,5.5,6.3,0.3,1.0,0.6,158.8,127.8,136.4,draft,2021,FLEX
64,Brandin Cooks,WR32,HOU,3.0,0.0,0.8,27.0,0.0,6.8,0.0,0.0,0.0,78.8,68.0,73.5,1099.2,966.5,1036.4,6.0,4.7,5.2,0.3,1.0,0.7,144.7,127.6,134.4,draft,2021,FLEX
65,David Johnson,RB31,HOU,167.0,133.1,147.8,734.0,521.0,619.2,5.7,4.0,4.7,44.0,29.2,35.9,386.0,226.3,322.5,4.0,1.3,2.3,0.9,2.0,1.5,154.0,107.1,133.1,draft,2021,FLEX
66,Deebo Samuel,WR33,SF,20.0,5.8,13.2,200.0,29.6,98.3,2.0,0.0,0.7,74.0,69.0,71.8,982.8,859.0,918.2,5.3,4.0,4.8,0.6,1.0,0.8,152.5,122.6,133.0,draft,2021,FLEX
67,Mark Andrews,TE4,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,66.0,69.7,899.5,816.0,850.4,9.0,7.0,8.1,0.7,1.0,0.9,139.2,123.6,132.1,draft,2021,FLEX
68,Robby Anderson,WR34,CAR,3.7,0.0,2.5,20.3,0.0,12.3,0.2,0.0,0.1,84.3,75.0,80.3,1028.0,939.2,989.8,6.3,4.4,5.2,0.6,1.0,0.8,134.0,127.7,130.1,draft,2021,FLEX
69,Leonard Fournette,RB32,TB,178.0,155.0,166.4,723.4,635.0,682.0,8.0,5.0,6.4,50.0,21.0,31.0,356.0,141.0,212.8,1.1,0.0,0.8,0.5,2.0,1.2,153.3,113.6,129.9,draft,2021,FLEX
70,JuJu Smith-Schuster,WR35,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,80.0,90.0,959.0,841.7,907.2,7.0,6.4,6.8,0.8,1.0,0.9,137.9,122.2,129.5,draft,2021,FLEX
71,Jerry Jeudy,WR36,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,61.0,69.0,1072.0,879.0,985.5,5.6,5.0,5.2,0.7,1.0,0.8,137.2,117.9,128.3,draft,2021,FLEX
72,Michael Gallup,WR37,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9,60.0,63.3,981.6,875.0,931.6,6.6,5.0,5.9,0.2,1.0,0.6,137.1,123.5,127.3,draft,2021,FLEX
73,Tyler Boyd,WR38,CIN,4.0,0.0,2.1,36.0,0.0,15.6,0.1,0.0,0.0,89.0,79.0,83.3,1010.0,865.0,925.7,6.0,4.7,5.3,0.6,1.0,0.8,140.6,116.5,124.4,draft,2021,FLEX
74,Marquise Brown,WR39,BAL,2.8,0.0,1.8,14.5,0.0,9.4,0.2,0.0,0.1,63.5,57.4,60.5,870.9,742.2,814.5,8.0,6.1,6.9,0.2,1.0,0.6,135.8,112.9,123.0,draft,2021,FLEX
75,Melvin Gordon,RB33,DEN,204.0,152.5,168.9,905.0,667.0,744.1,7.0,4.0,5.5,25.3,20.0,21.8,176.3,116.0,140.5,1.0,0.9,1.0,1.8,3.0,2.4,150.1,111.8,122.4,draft,2021,FLEX
76,Zack Moss,RB34,BUF,178.0,133.9,156.9,785.0,571.0,670.8,6.7,4.2,5.7,34.0,10.0,24.5,252.8,61.0,176.0,1.7,0.0,0.9,0.3,2.0,1.2,144.4,105.6,122.4,draft,2021,FLEX
77,Curtis Samuel,WR40,WAS,53.0,8.7,24.7,265.0,46.8,129.1,2.0,0.4,1.1,73.9,51.0,63.3,876.6,613.0,745.9,6.0,4.0,4.9,0.4,1.0,0.7,138.3,99.9,121.8,draft,2021,FLEX
78,Ronald Jones,RB35,TB,179.6,151.0,166.8,806.0,692.0,749.4,6.7,5.0,5.5,21.1,14.0,17.8,143.1,102.7,124.4,1.0,0.0,0.4,0.8,2.0,1.4,132.8,113.0,120.1,draft,2021,FLEX
79,Laviska Shenault,WR41,JAC,31.0,13.0,20.2,193.0,55.0,112.3,1.0,0.0,0.6,79.7,58.0,70.2,893.6,677.0,773.6,5.0,4.7,4.9,0.4,1.0,0.7,129.2,103.2,119.8,draft,2021,FLEX
80,Jarvis Landry,WR42,CLE,4.7,0.0,2.0,28.7,0.0,10.1,1.0,0.0,0.3,77.7,68.0,73.4,970.0,828.0,880.1,5.6,4.0,5.0,0.6,1.0,0.8,134.1,106.8,119.4,draft,2021,FLEX
81,Kyle Pitts,TE5,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,62.0,69.0,889.2,767.0,832.5,7.0,5.7,6.4,0.5,2.0,1.2,129.3,112.7,119.1,draft,2021,FLEX
82,DeVante Parker,WR43,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7,60.8,67.1,972.0,743.0,857.8,7.0,4.2,5.7,0.4,1.0,0.7,133.2,98.6,118.8,draft,2021,FLEX
83,Mike Williams,WR44,LAC,1.0,0.0,0.3,2.0,0.0,0.5,0.0,0.0,0.0,59.9,47.0,53.5,960.0,735.0,879.0,5.9,4.0,5.2,0.2,1.0,0.6,131.0,103.5,117.8,draft,2021,FLEX
84,DeVonta Smith,WR45,PHI,2.1,0.0,1.0,12.6,0.0,6.2,0.1,0.0,0.0,71.2,56.0,63.7,961.9,754.0,900.2,5.2,4.0,4.8,0.4,2.0,1.2,127.7,99.4,117.2,draft,2021,FLEX
85,TY Hilton,WR46,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,56.2,62.2,911.0,778.9,828.2,8.0,5.0,5.8,0.2,1.0,0.6,139.1,107.6,116.3,draft,2021,FLEX
86,Will Fuller,WR47,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,48.0,66.8,984.0,646.0,850.0,6.2,4.0,5.3,0.3,1.0,0.6,134.4,88.6,115.6,draft,2021,FLEX
87,James Conner,RB36,ARI,166.4,132.0,142.9,710.4,563.2,632.6,6.6,4.5,5.5,28.3,17.0,22.4,203.1,116.0,155.9,1.0,0.0,0.7,0.8,2.0,1.4,134.3,100.3,113.4,draft,2021,FLEX
