,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Travis Kelce,KC,7.3,6.1,6.6,88.9,68.3,78.5,0.7,0.5,0.6,0.0,0.1,0.1,12.6,9.9,11.1,3,2022,TE
1,Mark Andrews,BAL,6.8,5.5,6.1,85.0,67.2,76.2,0.6,0.5,0.5,0.0,0.1,0.1,12.3,10.1,10.7,3,2022,TE
2,Darren Waller,LV,5.7,4.1,5.1,70.0,44.0,60.9,0.4,0.2,0.3,0.0,0.1,0.0,9.0,5.6,7.9,3,2022,TE
3,Kyle Pitts,ATL,4.7,3.4,4.2,60.0,45.8,55.8,0.3,0.2,0.2,0.0,0.0,0.0,7.6,6.2,7.1,3,2022,TE
4,George Kittle,SF,4.6,3.7,4.2,53.9,47.4,51.2,0.5,0.2,0.3,0.0,0.0,0.0,8.0,6.2,7.0,3,2022,TE
5,Dallas Goedert,PHI,4.1,3.6,3.9,62.0,43.0,51.1,0.3,0.2,0.3,0.0,0.0,0.0,8.0,5.8,6.8,3,2022,TE
6,Tyler Higbee,LAR,5.2,4.2,4.6,56.0,42.3,46.8,0.5,0.3,0.3,0.0,0.0,0.0,7.3,6.0,6.7,3,2022,TE
7,Zach Ertz,ARI,5.0,3.9,4.4,50.1,34.0,42.8,0.4,0.2,0.3,0.0,0.0,0.0,6.9,4.3,6.0,3,2022,TE
8,TJ Hockenson,DET,4.8,3.7,4.2,49.9,37.8,42.6,0.4,0.2,0.3,0.0,0.0,0.0,7.0,5.0,5.8,3,2022,TE
9,Pat Freiermuth,PIT,4.9,4.0,4.4,47.4,32.5,39.2,0.4,0.2,0.3,0.0,0.1,0.0,6.7,4.7,5.6,3,2022,TE
10,Dawson Knox,BUF,3.3,2.7,3.0,38.1,34.2,36.5,0.4,0.3,0.3,0.0,0.0,0.0,5.8,5.2,5.5,3,2022,TE
11,Hayden Hurst,CIN,4.3,2.9,3.5,42.0,28.7,34.4,0.4,0.2,0.3,0.0,0.1,0.0,6.1,4.2,5.1,3,2022,TE
12,Gerald Everett,LAC,4.0,3.1,3.6,42.2,32.7,37.3,0.3,0.1,0.2,0.0,0.1,0.0,5.8,4.4,4.9,3,2022,TE
13,Logan Thomas,WAS,3.5,3.0,3.2,38.2,28.0,33.3,0.4,0.2,0.3,0.0,0.1,0.0,5.6,3.9,4.9,3,2022,TE
14,Irv Smith,MIN,3.0,2.3,2.8,32.9,25.1,29.4,0.5,0.1,0.3,0.0,0.0,0.0,6.2,3.4,4.7,3,2022,TE
15,Robert Tonyan,GB,3.4,2.5,3.0,39.0,27.6,32.7,0.3,0.2,0.2,0.0,0.0,0.0,5.7,4.0,4.7,3,2022,TE
16,Hunter Henry,NE,3.2,2.8,2.9,40.5,29.0,32.4,0.3,0.2,0.2,0.0,0.0,0.0,5.3,4.1,4.6,3,2022,TE
17,Evan Engram,JAC,4.7,3.1,3.7,42.0,29.7,36.0,0.2,0.2,0.2,0.0,0.1,0.0,5.3,4.1,4.6,3,2022,TE
18,David Njoku,CLE,3.7,2.4,2.9,36.0,23.7,29.8,0.3,0.1,0.2,0.0,0.0,0.0,4.8,3.2,4.3,3,2022,TE
19,Mike Gesicki,MIA,3.9,2.1,2.9,39.0,23.2,31.0,0.2,0.2,0.2,0.0,0.0,0.0,5.1,3.4,4.3,3,2022,TE
20,Austin Hooper,TEN,3.9,2.3,3.0,37.0,23.4,28.7,0.3,0.2,0.2,0.0,0.0,0.0,5.0,3.6,4.3,3,2022,TE
21,Noah Fant,SEA,3.5,2.6,3.1,34.3,26.0,30.1,0.3,0.2,0.2,0.0,0.0,0.0,5.1,3.5,4.3,3,2022,TE
22,Cole Kmet,CHI,3.2,2.4,2.9,35.7,26.0,31.0,0.2,0.1,0.2,0.0,0.0,0.0,4.8,3.8,4.2,3,2022,TE
23,Tyler Conklin,NYJ,4.0,2.4,3.3,39.9,22.0,31.3,0.2,0.1,0.2,0.0,0.0,0.0,5.3,2.7,4.2,3,2022,TE
24,Albert Okwuegbunam,DEN,3.7,2.4,2.8,36.0,23.8,28.0,0.3,0.1,0.2,0.0,0.0,0.0,5.2,3.2,4.0,3,2022,TE
25,Dalton Schultz,DAL,3.2,2.0,2.6,34.2,18.3,26.3,0.2,0.1,0.2,0.0,0.0,0.0,4.7,2.4,3.6,3,2022,TE
26,Mo Alie-Cox,IND,2.3,1.7,2.0,27.8,21.9,24.6,0.2,0.1,0.2,0.0,0.0,0.0,3.7,3.2,3.4,3,2022,TE
27,Juwan Johnson,NO,2.6,1.4,1.9,29.8,17.3,23.0,0.3,0.1,0.2,0.0,0.0,0.0,4.7,2.3,3.3,3,2022,TE
28,Isaiah Likely,BAL,2.8,1.7,2.1,31.6,18.7,23.4,0.2,0.1,0.2,0.0,0.1,0.0,4.4,2.5,3.3,3,2022,TE
29,Cameron Brate,TB,3.2,1.4,2.3,33.0,12.4,22.0,0.2,0.1,0.2,0.0,0.0,0.0,4.5,2.0,3.1,3,2022,TE
30,Jonnu Smith,NE,2.8,1.8,2.2,27.9,17.0,23.2,0.2,0.1,0.1,0.0,0.0,0.0,4.2,2.5,3.1,3,2022,TE
31,Jake Ferguson,DAL,3.4,1.3,2.1,40.0,12.1,22.4,0.2,0.1,0.1,0.0,0.0,0.0,5.2,1.8,3.1,3,2022,TE
32,Foster Moreau,LV,2.3,1.3,1.8,30.9,14.0,20.3,0.2,0.1,0.1,0.0,0.0,0.0,4.3,2.1,2.9,3,2022,TE
33,OJ Howard,HOU,2.0,1.2,1.7,24.0,13.8,19.3,0.3,0.1,0.2,0.0,0.0,0.0,3.4,2.0,2.9,3,2022,TE
34,Harrison Bryant,CLE,2.0,1.6,1.9,21.7,17.4,19.0,0.2,0.1,0.1,0.0,0.0,0.0,3.3,2.4,2.8,3,2022,TE
35,Pharaoh Brown,HOU,2.7,1.7,2.2,26.2,15.7,19.9,0.2,0.1,0.1,0.0,0.1,0.0,3.4,2.2,2.7,3,2022,TE
36,Kylen Granson,IND,2.2,1.5,1.9,23.1,13.0,18.8,0.2,0.1,0.1,0.0,0.0,0.0,3.4,1.9,2.6,3,2022,TE
37,Will Dissly,SEA,2.0,1.2,1.6,20.6,10.0,16.2,0.2,0.1,0.1,0.0,0.0,0.0,3.0,1.5,2.4,3,2022,TE
38,CJ Uzomah,NYJ,2.4,0.8,1.7,21.8,7.3,16.0,0.2,0.1,0.1,0.0,0.0,0.0,3.4,1.2,2.4,3,2022,TE
39,Donald Parham,LAC,1.2,1.2,1.2,12.6,12.6,12.6,0.2,0.2,0.2,0.0,0.0,0.0,2.3,2.3,2.3,3,2022,TE
40,Ian Thomas,CAR,2.0,1.1,1.6,22.1,9.0,16.5,0.1,0.1,0.1,0.0,0.0,0.0,2.9,1.2,2.3,3,2022,TE
41,Daniel Bellinger,NYG,2.0,1.2,1.6,20.4,11.1,15.8,0.2,0.1,0.1,0.0,0.1,0.1,3.2,1.6,2.2,3,2022,TE
42,Tanner Hudson,NYG,2.0,1.2,1.6,19.0,13.0,16.0,0.1,0.1,0.1,0.0,0.0,0.0,2.5,1.9,2.2,3,2022,TE
43,Anthony Firkser,ATL,2.1,1.1,1.6,21.0,12.7,16.9,0.1,0.1,0.1,0.0,0.0,0.0,2.9,1.7,2.2,3,2022,TE
44,Durham Smythe,MIA,1.9,1.3,1.7,18.6,11.7,15.1,0.1,0.1,0.1,0.0,0.0,0.0,2.6,1.8,2.1,3,2022,TE
45,Peyton Hendershot,DAL,1.8,0.7,1.4,21.0,6.6,15.4,0.1,0.0,0.1,0.0,0.0,0.0,2.8,0.7,2.0,3,2022,TE
46,Geoff Swaim,TEN,1.7,1.3,1.5,14.5,11.6,12.8,0.1,0.1,0.1,0.0,0.0,0.0,2.0,1.8,1.9,3,2022,TE
47,Eric Saubert,DEN,1.1,0.8,0.9,11.1,7.3,8.8,0.3,0.1,0.2,0.0,0.0,0.0,2.5,1.2,1.9,3,2022,TE
48,Johnny Mundt,MIN,1.6,0.6,1.2,16.4,6.4,12.0,0.2,0.1,0.1,0.0,0.0,0.0,2.6,1.0,1.8,3,2022,TE
49,Ross Dwelley,SF,1.1,0.2,0.8,18.4,2.0,10.0,0.3,0.0,0.1,0.0,0.0,0.0,3.6,0.3,1.8,3,2022,TE
50,John Bates,WAS,1.6,0.9,1.2,16.7,9.4,12.4,0.1,0.1,0.1,0.0,0.0,0.0,2.3,1.4,1.7,3,2022,TE
51,Parker Hesse,ATL,1.5,1.0,1.2,15.0,10.1,12.0,0.1,0.1,0.1,0.0,0.0,0.0,2.1,1.5,1.7,3,2022,TE
52,Brock Wright,DET,1.4,0.8,1.1,16.0,8.9,12.0,0.1,0.1,0.1,0.0,0.0,0.0,2.2,1.3,1.7,3,2022,TE
53,Kyle Rudolph,TB,1.8,0.7,1.2,17.1,7.0,12.3,0.1,0.0,0.1,0.0,0.0,0.0,2.4,1.0,1.7,3,2022,TE
54,Colby Parkinson,SEA,1.8,0.6,1.0,20.1,6.0,10.9,0.2,0.0,0.1,0.0,0.0,0.0,3.2,0.8,1.6,3,2022,TE
55,Noah Gray,KC,1.3,0.8,1.0,12.5,6.9,9.4,0.1,0.1,0.1,0.0,0.0,0.0,2.1,1.3,1.5,3,2022,TE
56,Jody Fortson,KC,1.5,0.7,0.9,13.2,6.5,8.9,0.1,0.1,0.1,0.0,0.0,0.0,1.9,1.1,1.4,3,2022,TE
57,Cade Otton,TB,1.0,1.0,1.0,9.4,9.4,9.4,0.1,0.1,0.1,0.0,0.0,0.0,1.4,1.4,1.4,3,2022,TE
58,Dan Arnold,JAC,1.3,0.3,0.8,16.6,4.3,10.3,0.1,0.0,0.1,0.0,0.0,0.0,2.3,0.4,1.3,3,2022,TE
59,Jelani Woods,IND,0.7,0.6,0.7,8.0,6.0,7.0,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.1,1.3,3,2022,TE
60,Zach Gentry,PIT,1.3,0.7,1.1,13.0,7.2,10.5,0.1,0.0,0.0,0.0,0.0,0.0,1.8,0.7,1.3,3,2022,TE
61,Nick Boyle,BAL,0.8,0.8,0.8,6.8,6.8,6.8,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,3,2022,TE
62,Adam Trautman,NO,1.1,0.6,0.9,13.0,5.2,9.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.5,1.3,3,2022,TE
63,Jake Tonges,CHI,0.8,0.5,0.7,8.4,5.6,7.0,0.1,0.1,0.1,0.0,0.0,0.0,1.4,1.2,1.3,3,2022,TE
64,James Mitchell,DET,0.7,0.7,0.7,6.4,6.4,6.4,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
65,Tommy Sweeney,BUF,0.7,0.7,0.7,6.4,6.4,6.4,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
66,Ko Kieft,TB,1.0,0.7,0.8,10.8,7.2,8.7,0.1,0.0,0.1,0.0,0.0,0.0,1.6,1.0,1.2,3,2022,TE
67,Reggie Gilliam,BUF,0.8,0.8,0.8,6.2,6.2,6.2,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
68,Nick Vannett,NO,0.6,0.6,0.6,6.1,6.1,6.1,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
69,Cole Turner,WAS,0.7,0.7,0.7,5.9,5.9,5.9,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
70,Kendall Blanton,LAR,1.2,0.2,0.7,11.2,3.0,7.4,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.4,1.1,3,2022,TE
71,Chigoziem Okonkwo,TEN,1.1,0.6,0.9,11.0,5.4,8.2,0.1,0.0,0.1,0.0,0.0,0.0,1.6,0.5,1.1,3,2022,TE
72,Tre' McKitty,LAC,1.0,0.8,0.9,10.0,6.2,8.1,0.1,0.0,0.1,0.0,0.0,0.0,1.4,0.6,1.1,3,2022,TE
73,Josiah Deguara,GB,0.9,0.7,0.8,11.0,6.8,9.3,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.7,1.1,3,2022,TE
74,Tommy Tremble,CAR,1.4,0.5,1.0,11.7,4.0,7.9,0.1,0.0,0.1,0.0,0.0,0.0,1.8,0.6,1.1,3,2022,TE
75,Chris Myarick,NYG,0.7,0.6,0.7,6.0,3.7,4.9,0.2,0.0,0.1,0.0,0.0,0.0,1.6,0.8,1.1,3,2022,TE
76,Jordan Akins,HOU,1.3,0.5,0.9,11.0,4.6,8.4,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.5,1.1,3,2022,TE
77,Andrew Beck,DEN,0.9,0.3,0.6,11.1,3.0,7.1,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.5,1.0,3,2022,TE
78,Marcedes Lewis,GB,1.3,0.7,1.0,14.0,5.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,1.0,3,2022,TE
79,Mitchell Wilcox,CIN,0.8,0.4,0.7,8.4,4.0,6.4,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.6,1.0,3,2022,TE
80,Quintin Morris,BUF,0.7,0.6,0.7,7.3,6.0,6.7,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.9,1.0,3,2022,TE
81,Devin Asiasi,CIN,0.8,0.2,0.5,10.9,2.0,6.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.3,0.9,3,2022,TE
82,Taysom Hill,NO,1.2,0.3,0.8,14.8,3.0,8.9,0.1,0.0,0.1,0.0,0.3,0.2,2.1,1.3,0.9,3,2022,TE
83,Maxx Williams,ARI,0.7,0.4,0.6,7.5,4.0,5.8,0.1,0.0,0.1,0.0,0.0,0.0,1.4,0.5,0.9,3,2022,TE
84,Eric Tomlinson,DEN,0.8,0.3,0.6,8.0,2.8,5.4,0.1,0.0,0.1,0.0,0.0,0.0,1.1,0.3,0.8,3,2022,TE
85,Jesper Horsted,LV,0.8,0.2,0.5,8.8,2.0,5.4,0.1,0.0,0.1,0.0,0.0,0.0,1.5,0.3,0.8,3,2022,TE
86,Chris Manhertz,JAC,0.7,0.4,0.6,6.7,4.0,5.4,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.5,0.8,3,2022,TE
87,Richard Rodgers,LAC,0.7,0.7,0.7,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.8,3,2022,TE
88,Jeremy Ruckert,NYJ,0.7,0.2,0.5,6.7,3.0,4.9,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.3,0.8,3,2022,TE
89,Ben Ellefson,MIN,0.7,0.2,0.5,6.7,2.0,4.4,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.3,0.7,3,2022,TE
90,Grant Calcaterra,PHI,0.6,0.2,0.4,6.6,2.0,4.3,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.2,0.7,3,2022,TE
91,Stephen Sullivan,CAR,0.7,0.6,0.7,7.0,6.5,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,3,2022,TE
92,Trey McBride,ARI,0.7,0.0,0.4,6.6,0.0,3.3,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.1,0.6,3,2022,TE
93,Josh Oliver,BAL,0.7,0.6,0.7,6.0,5.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.6,3,2022,TE
94,Jack Stoll,PHI,0.6,0.5,0.6,5.5,5.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.5,3,2022,TE
95,Kevin Rader,TEN,0.6,0.6,0.6,4.8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3,2022,TE
96,Trevon Wesco,CHI,0.4,0.4,0.4,5.0,4.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.5,3,2022,TE
97,Charlie Woerner,SF,0.6,0.3,0.5,6.1,3.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.5,3,2022,TE
98,Armani Rogers,WAS,0.7,0.2,0.5,6.5,2.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.4,3,2022,TE
99,Luke Farrell,JAC,0.7,0.2,0.5,6.1,2.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.4,3,2022,TE
100,Shane Zylstra,DET,0.7,0.1,0.4,6.9,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.4,3,2022,TE
101,Miller Forristall,CLE,0.4,0.4,0.4,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,3,2022,TE
102,Tanner Conner,MIA,0.2,0.2,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,3,2022,TE
103,Stephen Anderson,ARI,0.2,0.2,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,3,2022,TE
104,Giovanni Ricci,CAR,0.2,0.1,0.2,2.0,1.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,3,2022,TE
105,Connor Heyward,PIT,0.1,0.1,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,3,2022,TE
106,Jacob Harris,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,TE
